Date,NHS Ayrshire & Arran,NHS Borders,NHS Dumfries & Galloway,NHS Fife,NHS Forth Valley,NHS Grampian,NHS Greater Glasgow & Clyde,NHS Highland,NHS Lanarkshire,NHS Lothian,NHS Orkney,NHS Shetland,NHS Tayside,NHS Western Isles
04/05/2020,818,284,250,778,794,931,"3,029",299,"1,492","2,113",7,54,"1,411",6
05/05/2020,825,284,254,784,802,946,"3,070",307,"1,520","2,149",7,54,"1,429",6
06/05/2020,846,285,254,792,809,957,"3,203",310,"1,541","2,200",7,54,"1,445",6
07/05/2020,853,286,254,801,818,973,"3,277",313,"1,576","2,241",7,54,"1,465",6
08/05/2020,885,286,255,804,828,"1,001","3,333",317,"1,628","2,274",7,54,"1,471",6
09/05/2020,895,286,255,810,828,"1,035","3,367",317,"1,635","2,324",7,54,"1,486",6
10/05/2020,904,286,255,811,828,"1,050","3,449",320,"1,660","2,359",7,54,"1,497",6
11/05/2020,912,292,255,813,839,"1,078","3,479",322,"1,693","2,380",7,54,"1,497",6
12/05/2020,925,294,255,813,856,"1,102","3,510",324,"1,715","2,397",7,54,"1,505",6
13/05/2020,946,297,254,816,859,"1,123","3,579",324,"1,721","2,428",7,54,"1,515",6
14/05/2020,952,298,255,823,863,"1,142","3,628",328,"1,762","2,459",7,54,"1,540",6
15/05/2020,964,304,255,824,867,"1,152","3,663",331,"1,781","2,497",7,54,"1,555",6
16/05/2020,966,310,257,824,871,"1,181","3,707",331,"1,812","2,539",7,54,"1,582",6
17/05/2020,974,313,257,824,873,"1,189","3,731",331,"1,828","2,561",7,54,"1,589",6
18/05/2020,976,316,257,824,880,"1,200","3,742",331,"1,840","2,568",7,54,"1,593",6
19/05/2020,981,317,257,825,883,"1,206","3,759",333,"1,853","2,575",7,54,"1,599",6
20/05/2020,987,322,257,826,894,"1,216","3,780",334,"1,867","2,584",7,54,"1,617",6
21/05/2020,995,322,257,826,896,"1,218","3,806",334,"1,892","2,611",7,54,"1,632",6
22/05/2020,"1,001",322,257,826,909,"1,223","3,841",335,"1,913","2,634",7,54,"1,641",6
23/05/2020,"1,015",322,257,826,915,"1,223","3,865",335,"1,922","2,649",7,54,"1,645",6
24/05/2020,"1,019",322,258,826,917,"1,224","3,876",335,"1,934","2,665",7,54,"1,658",6
25/05/2020,"1,019",322,260,827,917,"1,245","3,892",335,"1,944","2,669",7,54,"1,659",6
26/05/2020,"1,023",323,260,828,918,"1,250","3,898",336,"1,948","2,675",7,54,"1,659",6
