Date,NHS Ayrshire & Arran,NHS Borders,NHS Dumfries & Galloway,NHS Fife,NHS Forth Valley,NHS Grampian,NHS Greater Glasgow & Clyde,NHS Highland,NHS Lanarkshire,NHS Lothian,NHS Orkney,NHS Shetland,NHS Tayside,NHS Western Isles,Golden Jubilee National Hospital
26/03/2020,31,*,12,25,33,*,N/A,32,N/A,13,*,*,24,*,*
27/03/2020,25,19,18,28,33,*,N/A,22,51,42,*,*,25,*,*
28/03/2020,31,20,28,20,33,*,N/A,31,48,22,*,*,29,*,5
29/03/2020,24,17,24,33,50,*,N/A,27,60,18,*,*,28,*,6
30/03/2020,17,17,21,40,58,*,N/A,25,66,9,*,*,28,*,6
31/03/2020,20,13,18,22,58,*,N/A,32,68,46,*,*,28,5,5
01/04/2020,30,24,27,26,57,*,N/A,38,46,50,*,*,28,*,5
02/04/2020,32,25,27,33,52,*,N/A,24,71,69,*,*,25,*,*
03/04/2020,29,20,21,19,43,*,N/A,22,79,66,*,*,18,*,*
04/04/2020,32,21,16,31,36,*,N/A,27,90,74,5,*,37,*,*
05/04/2020,38,17,20,33,29,*,N/A,16,88,104,*,*,35,*,*
06/04/2020,34,10,26,20,51,*,N/A,26,88,95,*,*,26,*,*
07/04/2020,49,15,13,42,59,*,N/A,27,78,82,*,*,34,*,*
08/04/2020,28,17,24,31,48,*,N/A,27,73,71,*,*,29,*,5
09/04/2020,31,21,18,36,50,*,N/A,26,68,65,*,*,15,*,*
10/04/2020,48,19,25,37,33,*,N/A,12,91,72,*,*,18,*,6
11/04/2020,64,18,36,32,40,*,N/A,16,76,62,*,*,26,*,5
12/04/2020,28,6,19,23,33,13,N/A,13,60,44,*,*,19,*,*
13/04/2020,35,13,28,20,35,12,N/A,16,74,54,*,*,23,*,*
14/04/2020,40,15,21,18,37,8,N/A,15,74,42,*,*,12,*,*
15/04/2020,43,13,16,13,40,5,N/A,12,58,38,*,*,17,*,*
16/04/2020,30,23,11,29,46,15,N/A,11,49,67,*,*,28,*,6
17/04/2020,37,13,10,26,33,16,N/A,13,82,49,*,*,20,*,6
18/04/2020,37,10,8,28,26,9,N/A,13,79,50,*,*,19,*,8
19/04/2020,31,14,15,22,28,8,N/A,20,69,51,*,*,8,*,8
20/04/2020,34,14,13,15,40,11,N/A,12,69,44,*,*,23,*,7
21/04/2020,34,15,14,36,48,16,N/A,25,77,88,*,5,21,*,10
22/04/2020,24,14,11,35,40,23,N/A,29,86,47,*,*,24,*,9
23/04/2020,26,6,20,28,49,31,N/A,17,70,47,*,*,26,*,5
24/04/2020,44,6,17,26,42,29,N/A,29,73,45,*,*,14,*,*
25/04/2020,33,22,13,22,56,29,N/A,20,86,53,*,*,25,*,*
26/04/2020,25,15,10,40,45,17,N/A,17,83,74,*,*,22,*,*
27/04/2020,33,6,16,43,51,17,N/A,16,90,74,*,*,26,*,*
28/04/2020,46,17,12,33,67,26,N/A,34,83,50,*,*,23,*,*
29/04/2020,48,6,19,34,50,24,N/A,24,83,45,*,*,30,*,*
30/04/2020,51,12,11,39,41,34,N/A,27,100,77,*,*,30,*,*
01/05/2020,43,7,14,39,51,29,N/A,26,98,110,*,*,21,*,*
02/05/2020,42,9,15,30,61,31,N/A,23,95,61,*,*,27,*,*
03/05/2020,54,10,10,23,30,49,N/A,28,86,75,*,*,32,*,*
04/05/2020,27,5,14,25,34,31,N/A,33,107,127,*,*,35,*,*
05/05/2020,36,6,16,29,51,68,N/A,41,79,77,*,*,20,*,*
06/05/2020,52,9,17,19,55,57,N/A,24,93,77,*,*,17,*,*
07/05/2020,43,9,15,14,53,42,N/A,15,77,100,*,*,17,*,*
08/05/2020,39,15,22,22,49,49,N/A,24,81,92,*,*,16,*,5
09/05/2020,36,7,17,36,51,27,N/A,25,72,126,*,*,19,*,*
10/05/2020,38,11,7,33,58,17,N/A,25,53,92,*,*,16,*,*
11/05/2020,37,8,*,33,66,20,N/A,25,57,38,*,*,15,*,*
12/05/2020,32,12,13,25,58,43,N/A,55,94,123,*,*,26,*,*
13/05/2020,30,13,8,22,55,42,N/A,51,84,111,*,*,14,*,*
14/05/2020,24,17,7,32,50,53,N/A,28,61,88,*,*,18,*,*
15/05/2020,25,9,13,28,39,53,N/A,27,84,87,*,*,12,*,*
16/05/2020,38,15,21,24,36,31,N/A,25,74,130,*,*,9,*,*
17/05/2020,48,14,15,21,43,28,N/A,30,28,52,*,*,20,*,*
18/05/2020,57,17,10,28,37,61,N/A,22,63,90,*,*,33,*,*
19/05/2020,63,14,11,34,47,55,N/A,57,77,87,*,*,25,*,*
20/05/2020,69,20,22,31,47,33,N/A,33,100,124,*,*,16,*,*
21/05/2020,41,21,12,21,41,32,N/A,29,53,142,*,*,16,*,*
22/05/2020,35,17,12,32,40,16,N/A,38,83,88,*,*,20,*,*
23/05/2020,39,18,14,29,53,21,N/A,38,80,150,*,*,19,*,*
24/05/2020,30,25,18,33,55,18,N/A,26,69,187,*,*,23,*,*
25/05/2020,24,19,13,23,41,13,N/A,27,74,174,*,*,10,*,*
26/05/2020,21,20,10,13,29,22,N/A,41,85,103,*,*,18,*,*
