"","trust_code","geo_code","p_trust","p_geo"
"1","R0A","E06000049",0.0411639460610362,0.0850439882697947
"2","R0A","E08000002",0.0085166784953868,0.0336134453781513
"3","R0A","E08000003",0.495386799148332,0.767876787678768
"4","R0A","E08000004",0.0163236337828247,0.0437262357414449
"5","R0A","E08000005",0.0085166784953868,0.0277136258660508
"6","R0A","E08000006",0.0078069552874379,0.0246085011185682
"7","R0A","E08000007",0.0723917672107878,0.176470588235294
"8","R0A","E08000008",0.0290986515259049,0.0724381625441696
"9","R0A","E08000009",0.308729595457771,0.921610169491525
"10","R0A","E10000017",0.0120652945351313,0.00954519932622122
"11","R0B","E06000047",0.122128174123337,0.163166397415186
"12","R0B","E08000023",0.316807738814994,1
"13","R0B","E08000024",0.561064087061669,0.920634920634921
"14","R0D","E06000058",0.728155339805825,1
"15","R0D","E06000059",0.207119741100324,0.383233532934132
"16","R0D","E10000014",0.0647249190938511,0.0146198830409357
"17","R1F","E06000046",1,1
"18","R1H","E09000002",0.0298638559508125,0.162679425837321
"19","R1H","E09000005",0.00614844093104963,0.011119936457506
"20","R1H","E09000010",0.00746596398770312,0.0228187919463087
"21","R1H","E09000012",0.0540184453227932,0.213541666666667
"22","R1H","E09000014",0.00746596398770312,0.0276422764227642
"23","R1H","E09000019",0.00483091787439614,0.0303030303030303
"24","R1H","E09000025",0.311374615722442,0.956815114709852
"25","R1H","E09000026",0.0913482652613087,0.311377245508982
"26","R1H","E09000030",0.194554238032499,1
"27","R1H","E09000031",0.246376811594203,0.913680781758958
"28","R1H","E10000012",0.04655248133509,0.0539165818921668
"29","R1K","E09000003",0.0319699106723084,0.0724946695095949
"30","R1K","E09000005",0.325811001410437,0.550436854646545
"31","R1K","E09000009",0.262341325811001,0.625560538116592
"32","R1K","E09000015",0.321109543958627,0.813095238095238
"33","R1K","E09000017",0.0399623883403855,0.148601398601399
"34","R1K","E09000018",0.0122237893747062,0.0593607305936073
"35","R1K","E10000015",0.00658204043253409,0.00764609503003823
"36","RA2","E10000014",0.111702127659574,0.0307017543859649
"37","RA2","E10000030",0.851063829787234,0.175246440306681
"38","RA2","E10000032",0.0372340425531915,0.0204081632653061
"39","RA4","E06000059",0.148148148148148,0.0958083832335329
"40","RA4","E10000027",0.851851851851852,0.235294117647059
"41","RA7","E06000023",0.550617283950617,0.561712846347607
"42","RA7","E06000024",0.353086419753086,0.794444444444444
"43","RA7","E06000025",0.0345679012345679,0.0580912863070539
"44","RA7","E10000027",0.0617283950617284,0.0639386189258312
"45","RA9","E06000027",0.550847457627119,1
"46","RA9","E10000008",0.449152542372881,0.14441416893733
"47","RAE","E08000032",1,0.79768177028451
"48","RAJ","E06000033",0.175797712221553,1
"49","RAJ","E06000034",0.186634557495485,1
"50","RAJ","E10000012",0.637567730282962,0.538657171922686
"51","RAL","E09000003",0.496839443742099,0.837953091684435
"52","RAL","E09000005",0.120101137800253,0.150913423351867
"53","RAL","E09000007",0.123261694058154,0.502577319587629
"54","RAL","E09000010",0.0960809102402023,0.204026845637584
"55","RAL","E09000014",0.0284450063211125,0.0731707317073171
"56","RAL","E09000015",0.0290771175726928,0.0547619047619048
"57","RAL","E09000033",0.011378002528445,0.0430622009569378
"58","RAL","E10000015",0.0948166877370417,0.0819224467504096
"59","RAP","E09000010",0.58054054054054,0.720805369127517
"60","RAP","E09000014",0.340540540540541,0.51219512195122
"61","RAP","E09000031",0.0356756756756757,0.0537459283387622
"62","RAP","E10000015",0.0432432432432432,0.0218459858001092
"63","RAS","E09000009",0.090146750524109,0.0482062780269058
"64","RAS","E09000015",0.039832285115304,0.0226190476190476
"65","RAS","E09000017",0.870020964360587,0.725524475524476
"66","RAX","E09000021",0.516007532956685,0.931972789115646
"67","RAX","E09000024",0.0790960451977401,0.124260355029586
"68","RAX","E09000027",0.193973634651601,0.49047619047619
"69","RAX","E09000029",0.0188323917137476,0.0323624595469256
"70","RAX","E09000032",0.0885122410546139,0.116915422885572
"71","RAX","E10000030",0.103578154425612,0.0301204819277108
"72","RBD","E06000059",1,0.449101796407186
"73","RBK","E08000028",0.0556438791732909,0.0539291217257319
"74","RBK","E08000030",0.841017488076312,0.794294294294294
"75","RBK","E10000028",0.103338632750397,0.0523349436392915
"76","RBL","E06000050",0.040785498489426,0.0494505494505494
"77","RBL","E08000015",0.959214501510574,1
"78","RBN","E06000006",0.182291666666667,0.454545454545455
"79","RBN","E08000011",0.319444444444444,0.587859424920128
"80","RBN","E08000012",0.0989583333333333,0.0508474576271186
"81","RBN","E08000013",0.399305555555556,0.891472868217054
"82","RBS","E08000012",1,0.0124888492417484
"83","RBT","E06000049",0.667307692307692,0.508797653958944
"84","RBT","E06000050",0.332692307692308,0.316849816849817
"85","RBV","E06000049",0.294117647058824,0.0219941348973607
"86","RBV","E08000003",0.196078431372549,0.011001100110011
"87","RBV","E08000006",0.196078431372549,0.0223713646532438
"88","RBV","E08000007",0.313725490196078,0.027681660899654
"89","RBZ","E10000008",1,0.155313351498638
"90","RC9","E06000032",0.324118866620594,1
"91","RC9","E06000055",0.33379405666897,0.975757575757576
"92","RC9","E06000056",0.299930891499654,0.900414937759336
"93","RC9","E10000015",0.0421561852107809,0.0333151283451666
"94","RCB","E06000011",0.211191335740072,0.307894736842105
"95","RCB","E06000014",0.362815884476534,1
"96","RCB","E10000023",0.425992779783394,0.336182336182336
"97","RCD","E08000035",0.131147540983607,0.0384985563041386
"98","RCD","E10000023",0.868852459016393,0.377492877492877
"99","RCF","E08000032",0.63768115942029,0.185458377239199
"100","RCF","E10000017",0.159420289855072,0.0247052217855138
"101","RCF","E10000023",0.202898550724638,0.0797720797720798
"102","RCX","E10000003",0.130434782608696,0.0645161290322581
"103","RCX","E10000019",0.0559006211180124,0.033210332103321
"104","RCX","E10000020",0.813664596273292,0.355013550135501
"105","RD1","E06000022",0.410094637223975,1
"106","RD1","E06000025",0.0630914826498423,0.0829875518672199
"107","RD1","E06000054",0.400630914826498,0.403174603174603
"108","RD1","E10000027",0.126182965299685,0.10230179028133
"109","RD8","E06000042",0.874055415617129,1
"110","RD8","E06000056",0.0302267002518892,0.024896265560166
"111","RD8","E06000060",0.0957178841309824,0.0722433460076046
"112","RDE","E10000012",0.50383631713555,0.200406917599186
"113","RDE","E10000029",0.49616368286445,0.52361673414305
"114","RDU","E06000036",0.0821678321678322,0.740157480314961
"115","RDU","E06000039",0.284090909090909,0.950292397660819
"116","RDU","E06000040",0.132867132867133,0.921212121212121
"117","RDU","E06000041",0.013986013986014,0.0855614973262032
"118","RDU","E06000060",0.171328671328671,0.372623574144487
"119","RDU","E10000014",0.161713286713287,0.135233918128655
"120","RDU","E10000030",0.153846153846154,0.0963855421686747
"121","REF","E06000052",1,0.689497716894977
"122","REM","E06000006",0.00635324015247776,0.0432900432900433
"123","REM","E08000011",0.0819567979669631,0.412140575079872
"124","REM","E08000012",0.667090216010165,0.936663693131133
"125","REM","E08000013",0.00635324015247776,0.0387596899224806
"126","REM","E08000014",0.227445997458704,0.62478184991274
"127","REM","E10000017",0.0108005082592122,0.00954519932622122
"128","RF4","E09000002",0.242718446601942,0.837320574162679
"129","RF4","E09000016",0.377947295423024,1
"130","RF4","E09000025",0.00832177531206657,0.0161943319838057
